Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Image Gallery URLs,Attached File S3 Key,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,List The Domain Name Your Team Has Registered With .Tech During This Hackathon,Agreement,Prize Category Agreement,Which Of The Following Ai Tools Did You Use This Weekend?,Did You Implement A Generative Ai Model Or Api In Your Hack This Weekend?,"If You Are Submitting To The Best Use Of Gemma 4 Prize Category, Please Provide Your Project Number."
Vector Relay,https://hacktech-by-caltech-2026.devpost.com/submissions/1099011-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 11:17:00,"## Inspiration
We wanted to improve public transit for students.

## What it does
A demo for table scheduling — project #11.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"[MLH] Best Use of Gemma 4 - Google Swag Kits, [MLH] Best .Tech Domain Name - Desktop Microphone, YC x HackTech - YC Interview","svelte, deno, turso, drizzle",,UC Berkeley,3,,,,,,
Chrono Cortex,https://hacktech-by-caltech-2026.devpost.com/submissions/1099012-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 12:24:00,"## Inspiration
We wanted to improve health literacy for students.

## What it does
A demo for table scheduling — project #12.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-12,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"[MLH] Best Use of ElevenLabs - Wireless Earbuds, Loveable x HackTech - Best use of Lovable, Ironsite x HackTech - Cash Prize","next.js, typescript, vercel, tailwind",,UCLA,0,,,,,,
Sonic Vessel,https://hacktech-by-caltech-2026.devpost.com/submissions/1099013-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 13:31:00,"## Inspiration
We wanted to improve open science for students.

## What it does
A demo for table scheduling — project #13.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"[MLH] Best Use of Solana - Ledger Nano S Plus, Best Use of AI - Mac Mini with Apple M4 chip, IFM x Hacktech - Best Use of K2 Think V2","react, node.js, supabase, tailwind",,Stanford,1,,,,,,
Ionic Pulse,https://hacktech-by-caltech-2026.devpost.com/submissions/1099014-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 14:38:00,"## Inspiration
We wanted to improve creative coding for students.

## What it does
A demo for table scheduling — project #14.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-14,,,,"[MLH] Best Use of Auth0 AI Agents - Wireless Headphones, Cybersecurity/Safety - NuPhy Air 75 v3 Keyboard, Sideshift x HackTech - Cash Prize + Interview","python, fastapi, react, postgresql",,Georgia Tech,2,,,,,,
Neon Ledger,https://hacktech-by-caltech-2026.devpost.com/submissions/1099015-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 10:45:00,"## Inspiration
We wanted to improve local communities for students.

## What it does
A demo for table scheduling — project #15.

## How we built it
Hacked together in a weekend with lots of coffee.",,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"[MLH] Best Use of Backboard - Tile Essentials Pack, Best Creativity - Logitech MX MASTER 4 Mice, Palohouse x HackTech - 10-day stay @ Palo Alto Hackerhouse + $20k SAFE investment","flutter, firebase, mapbox",,UT Austin,3,,,,,,
Lunar Relay,https://hacktech-by-caltech-2026.devpost.com/submissions/1099016-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 11:52:00,"## Inspiration
We wanted to improve sustainability for students.

## What it does
A demo for table scheduling — project #16.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-16,,,,"[MLH] Best Use of Vultr - Portable Screens, Best ""Not so sexy"" - WHOOP 5.0 One Health and Fitness Tracker, Listen Labs x HackTech: Simulate Humanity","vue, nuxt, planetscale, clerk",,Waterloo,0,,,,,,
Quantum Cortex,https://hacktech-by-caltech-2026.devpost.com/submissions/1099017-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 12:59:00,"## Inspiration
We wanted to improve on-campus life for students.

## What it does
A demo for table scheduling — project #17.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"[MLH] Best .Tech Domain Name - Desktop Microphone, YC x HackTech - YC Interview, [MLH] Best Use of Gemma 4 - Google Swag Kits","svelte, deno, turso, drizzle",,Carnegie Mellon,1,,,,,,
Swift Vessel,https://hacktech-by-caltech-2026.devpost.com/submissions/1099018-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 13:06:00,"## Inspiration
We wanted to improve accessibility for students.

## What it does
A demo for table scheduling — project #18.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-18,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Loveable x HackTech - Best use of Lovable, Ironsite x HackTech - Cash Prize, [MLH] Best Use of ElevenLabs - Wireless Earbuds","next.js, typescript, vercel, tailwind",,Caltech,2,,,,,,
Silent Pulse,https://hacktech-by-caltech-2026.devpost.com/submissions/1099019-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 14:13:00,"## Inspiration
We wanted to improve public transit for students.

## What it does
A demo for table scheduling — project #19.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"Best Use of AI - Mac Mini with Apple M4 chip, IFM x Hacktech - Best Use of K2 Think V2, [MLH] Best Use of Solana - Ledger Nano S Plus","react, node.js, supabase, tailwind",,MIT,3,,,,,,
Civic Ledger,https://hacktech-by-caltech-2026.devpost.com/submissions/1099020-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 10:20:00,"## Inspiration
We wanted to improve health literacy for students.

## What it does
A demo for table scheduling — project #20.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-20,,,,"Cybersecurity/Safety - NuPhy Air 75 v3 Keyboard, Sideshift x HackTech - Cash Prize + Interview, [MLH] Best Use of Auth0 AI Agents - Wireless Headphones","python, fastapi, react, postgresql",,UC Berkeley,0,,,,,,
Fuzzy Relay,https://hacktech-by-caltech-2026.devpost.com/submissions/1099021-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 11:27:00,"## Inspiration
We wanted to improve open science for students.

## What it does
A demo for table scheduling — project #21.

## How we built it
Hacked together in a weekend with lots of coffee.",,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Best Creativity - Logitech MX MASTER 4 Mice, Palohouse x HackTech - 10-day stay @ Palo Alto Hackerhouse + $20k SAFE investment, [MLH] Best Use of Backboard - Tile Essentials Pack","flutter, firebase, mapbox",,UCLA,1,,,,,,
Hyper Cortex,https://hacktech-by-caltech-2026.devpost.com/submissions/1099022-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 12:34:00,"## Inspiration
We wanted to improve creative coding for students.

## What it does
A demo for table scheduling — project #22.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-22,,,,"Best ""Not so sexy"" - WHOOP 5.0 One Health and Fitness Tracker, Listen Labs x HackTech: Simulate Humanity, [MLH] Best Use of Vultr - Portable Screens","vue, nuxt, planetscale, clerk",,Stanford,2,,,,,,
Amber Vessel,https://hacktech-by-caltech-2026.devpost.com/submissions/1099023-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 13:41:00,"## Inspiration
We wanted to improve local communities for students.

## What it does
A demo for table scheduling — project #23.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"YC x HackTech - YC Interview, [MLH] Best Use of Gemma 4 - Google Swag Kits, [MLH] Best .Tech Domain Name - Desktop Microphone","svelte, deno, turso, drizzle",,Georgia Tech,3,,,,,,
Nimbus Pulse,https://hacktech-by-caltech-2026.devpost.com/submissions/1099024-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 14:48:00,"## Inspiration
We wanted to improve sustainability for students.

## What it does
A demo for table scheduling — project #24.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-24,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Ironsite x HackTech - Cash Prize, [MLH] Best Use of ElevenLabs - Wireless Earbuds, Loveable x HackTech - Best use of Lovable","next.js, typescript, vercel, tailwind",,UT Austin,0,,,,,,
Prism Ledger,https://hacktech-by-caltech-2026.devpost.com/submissions/1099025-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 10:55:00,"## Inspiration
We wanted to improve on-campus life for students.

## What it does
A demo for table scheduling — project #25.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"IFM x Hacktech - Best Use of K2 Think V2, [MLH] Best Use of Solana - Ledger Nano S Plus, Best Use of AI - Mac Mini with Apple M4 chip","react, node.js, supabase, tailwind",,Waterloo,1,,,,,,
Vector Relay,https://hacktech-by-caltech-2026.devpost.com/submissions/1099026-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 11:02:00,"## Inspiration
We wanted to improve accessibility for students.

## What it does
A demo for table scheduling — project #26.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-26,,,,"Sideshift x HackTech - Cash Prize + Interview, [MLH] Best Use of Auth0 AI Agents - Wireless Headphones, Cybersecurity/Safety - NuPhy Air 75 v3 Keyboard","python, fastapi, react, postgresql",,Carnegie Mellon,2,,,,,,
Chrono Cortex,https://hacktech-by-caltech-2026.devpost.com/submissions/1099027-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 12:09:00,"## Inspiration
We wanted to improve public transit for students.

## What it does
A demo for table scheduling — project #27.

## How we built it
Hacked together in a weekend with lots of coffee.",,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Palohouse x HackTech - 10-day stay @ Palo Alto Hackerhouse + $20k SAFE investment, [MLH] Best Use of Backboard - Tile Essentials Pack, Best Creativity - Logitech MX MASTER 4 Mice","flutter, firebase, mapbox",,Caltech,3,,,,,,
Sonic Vessel,https://hacktech-by-caltech-2026.devpost.com/submissions/1099028-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 13:16:00,"## Inspiration
We wanted to improve health literacy for students.

## What it does
A demo for table scheduling — project #28.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-28,,,,"Listen Labs x HackTech: Simulate Humanity, [MLH] Best Use of Vultr - Portable Screens, Best ""Not so sexy"" - WHOOP 5.0 One Health and Fitness Tracker","vue, nuxt, planetscale, clerk",,MIT,0,,,,,,
Ionic Pulse,https://hacktech-by-caltech-2026.devpost.com/submissions/1099029-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 14:23:00,"## Inspiration
We wanted to improve open science for students.

## What it does
A demo for table scheduling — project #29.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"[MLH] Best Use of Gemma 4 - Google Swag Kits, [MLH] Best .Tech Domain Name - Desktop Microphone, YC x HackTech - YC Interview","svelte, deno, turso, drizzle",,UC Berkeley,1,,,,,,
Neon Ledger,https://hacktech-by-caltech-2026.devpost.com/submissions/1099030-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 10:30:00,"## Inspiration
We wanted to improve creative coding for students.

## What it does
A demo for table scheduling — project #30.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-30,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"[MLH] Best Use of ElevenLabs - Wireless Earbuds, Loveable x HackTech - Best use of Lovable, Ironsite x HackTech - Cash Prize","next.js, typescript, vercel, tailwind",,UCLA,2,,,,,,
Lunar Relay,https://hacktech-by-caltech-2026.devpost.com/submissions/1099031-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 11:37:00,"## Inspiration
We wanted to improve local communities for students.

## What it does
A demo for table scheduling — project #31.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"[MLH] Best Use of Solana - Ledger Nano S Plus, Best Use of AI - Mac Mini with Apple M4 chip, IFM x Hacktech - Best Use of K2 Think V2","react, node.js, supabase, tailwind",,Stanford,3,,,,,,
Quantum Cortex,https://hacktech-by-caltech-2026.devpost.com/submissions/1099032-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 12:44:00,"## Inspiration
We wanted to improve sustainability for students.

## What it does
A demo for table scheduling — project #32.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-32,,,,"[MLH] Best Use of Auth0 AI Agents - Wireless Headphones, Cybersecurity/Safety - NuPhy Air 75 v3 Keyboard, Sideshift x HackTech - Cash Prize + Interview","python, fastapi, react, postgresql",,Georgia Tech,0,,,,,,
Swift Vessel,https://hacktech-by-caltech-2026.devpost.com/submissions/1099033-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 13:51:00,"## Inspiration
We wanted to improve on-campus life for students.

## What it does
A demo for table scheduling — project #33.

## How we built it
Hacked together in a weekend with lots of coffee.",,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"[MLH] Best Use of Backboard - Tile Essentials Pack, Best Creativity - Logitech MX MASTER 4 Mice, Palohouse x HackTech - 10-day stay @ Palo Alto Hackerhouse + $20k SAFE investment","flutter, firebase, mapbox",,UT Austin,1,,,,,,
Silent Pulse,https://hacktech-by-caltech-2026.devpost.com/submissions/1099034-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 14:58:00,"## Inspiration
We wanted to improve accessibility for students.

## What it does
A demo for table scheduling — project #34.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-34,,,,"[MLH] Best Use of Vultr - Portable Screens, Best ""Not so sexy"" - WHOOP 5.0 One Health and Fitness Tracker, Listen Labs x HackTech: Simulate Humanity","vue, nuxt, planetscale, clerk",,Waterloo,2,,,,,,
Civic Ledger,https://hacktech-by-caltech-2026.devpost.com/submissions/1099035-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 10:05:00,"## Inspiration
We wanted to improve public transit for students.

## What it does
A demo for table scheduling — project #35.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"[MLH] Best .Tech Domain Name - Desktop Microphone, YC x HackTech - YC Interview, [MLH] Best Use of Gemma 4 - Google Swag Kits","svelte, deno, turso, drizzle",,Carnegie Mellon,3,,,,,,
Fuzzy Relay,https://hacktech-by-caltech-2026.devpost.com/submissions/1099036-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 11:12:00,"## Inspiration
We wanted to improve health literacy for students.

## What it does
A demo for table scheduling — project #36.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-36,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Loveable x HackTech - Best use of Lovable, Ironsite x HackTech - Cash Prize, [MLH] Best Use of ElevenLabs - Wireless Earbuds","next.js, typescript, vercel, tailwind",,Caltech,0,,,,,,
Hyper Cortex,https://hacktech-by-caltech-2026.devpost.com/submissions/1099037-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 12:19:00,"## Inspiration
We wanted to improve open science for students.

## What it does
A demo for table scheduling — project #37.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"Best Use of AI - Mac Mini with Apple M4 chip, IFM x Hacktech - Best Use of K2 Think V2, [MLH] Best Use of Solana - Ledger Nano S Plus","react, node.js, supabase, tailwind",,MIT,1,,,,,,
Amber Vessel,https://hacktech-by-caltech-2026.devpost.com/submissions/1099038-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 13:26:00,"## Inspiration
We wanted to improve creative coding for students.

## What it does
A demo for table scheduling — project #38.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-38,,,,"Cybersecurity/Safety - NuPhy Air 75 v3 Keyboard, Sideshift x HackTech - Cash Prize + Interview, [MLH] Best Use of Auth0 AI Agents - Wireless Headphones","python, fastapi, react, postgresql",,UC Berkeley,2,,,,,,
Nimbus Pulse,https://hacktech-by-caltech-2026.devpost.com/submissions/1099039-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 14:33:00,"## Inspiration
We wanted to improve local communities for students.

## What it does
A demo for table scheduling — project #39.

## How we built it
Hacked together in a weekend with lots of coffee.",,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Best Creativity - Logitech MX MASTER 4 Mice, Palohouse x HackTech - 10-day stay @ Palo Alto Hackerhouse + $20k SAFE investment, [MLH] Best Use of Backboard - Tile Essentials Pack","flutter, firebase, mapbox",,UCLA,3,,,,,,
Prism Ledger,https://hacktech-by-caltech-2026.devpost.com/submissions/1099040-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 10:40:00,"## Inspiration
We wanted to improve sustainability for students.

## What it does
A demo for table scheduling — project #40.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-40,,,,"Best ""Not so sexy"" - WHOOP 5.0 One Health and Fitness Tracker, Listen Labs x HackTech: Simulate Humanity, [MLH] Best Use of Vultr - Portable Screens","vue, nuxt, planetscale, clerk",,Stanford,0,,,,,,
Vector Relay,https://hacktech-by-caltech-2026.devpost.com/submissions/1099041-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 11:47:00,"## Inspiration
We wanted to improve on-campus life for students.

## What it does
A demo for table scheduling — project #41.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"YC x HackTech - YC Interview, [MLH] Best Use of Gemma 4 - Google Swag Kits, [MLH] Best .Tech Domain Name - Desktop Microphone","svelte, deno, turso, drizzle",,Georgia Tech,1,,,,,,
Chrono Cortex,https://hacktech-by-caltech-2026.devpost.com/submissions/1099042-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 12:54:00,"## Inspiration
We wanted to improve accessibility for students.

## What it does
A demo for table scheduling — project #42.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-42,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Ironsite x HackTech - Cash Prize, [MLH] Best Use of ElevenLabs - Wireless Earbuds, Loveable x HackTech - Best use of Lovable","next.js, typescript, vercel, tailwind",,UT Austin,2,,,,,,
Sonic Vessel,https://hacktech-by-caltech-2026.devpost.com/submissions/1099043-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 13:01:00,"## Inspiration
We wanted to improve public transit for students.

## What it does
A demo for table scheduling — project #43.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"IFM x Hacktech - Best Use of K2 Think V2, [MLH] Best Use of Solana - Ledger Nano S Plus, Best Use of AI - Mac Mini with Apple M4 chip","react, node.js, supabase, tailwind",,Waterloo,3,,,,,,
Ionic Pulse,https://hacktech-by-caltech-2026.devpost.com/submissions/1099044-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 14:08:00,"## Inspiration
We wanted to improve health literacy for students.

## What it does
A demo for table scheduling — project #44.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-44,,,,"Sideshift x HackTech - Cash Prize + Interview, [MLH] Best Use of Auth0 AI Agents - Wireless Headphones, Cybersecurity/Safety - NuPhy Air 75 v3 Keyboard","python, fastapi, react, postgresql",,Carnegie Mellon,0,,,,,,
Neon Ledger,https://hacktech-by-caltech-2026.devpost.com/submissions/1099045-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 10:15:00,"## Inspiration
We wanted to improve open science for students.

## What it does
A demo for table scheduling — project #45.

## How we built it
Hacked together in a weekend with lots of coffee.",,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Palohouse x HackTech - 10-day stay @ Palo Alto Hackerhouse + $20k SAFE investment, [MLH] Best Use of Backboard - Tile Essentials Pack, Best Creativity - Logitech MX MASTER 4 Mice","flutter, firebase, mapbox",,Caltech,1,,,,,,
Lunar Relay,https://hacktech-by-caltech-2026.devpost.com/submissions/1099046-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 11:22:00,"## Inspiration
We wanted to improve creative coding for students.

## What it does
A demo for table scheduling — project #46.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-46,,,,"Listen Labs x HackTech: Simulate Humanity, [MLH] Best Use of Vultr - Portable Screens, Best ""Not so sexy"" - WHOOP 5.0 One Health and Fitness Tracker","vue, nuxt, planetscale, clerk",,MIT,2,,,,,,
Quantum Cortex,https://hacktech-by-caltech-2026.devpost.com/submissions/1099047-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 12:29:00,"## Inspiration
We wanted to improve local communities for students.

## What it does
A demo for table scheduling — project #47.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"[MLH] Best Use of Gemma 4 - Google Swag Kits, [MLH] Best .Tech Domain Name - Desktop Microphone, YC x HackTech - YC Interview","svelte, deno, turso, drizzle",,UC Berkeley,3,,,,,,
Swift Vessel,https://hacktech-by-caltech-2026.devpost.com/submissions/1099048-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 13:36:00,"## Inspiration
We wanted to improve sustainability for students.

## What it does
A demo for table scheduling — project #48.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-48,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"[MLH] Best Use of ElevenLabs - Wireless Earbuds, Loveable x HackTech - Best use of Lovable, Ironsite x HackTech - Cash Prize","next.js, typescript, vercel, tailwind",,UCLA,0,,,,,,
Silent Pulse,https://hacktech-by-caltech-2026.devpost.com/submissions/1099049-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 14:43:00,"## Inspiration
We wanted to improve on-campus life for students.

## What it does
A demo for table scheduling — project #49.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"[MLH] Best Use of Solana - Ledger Nano S Plus, Best Use of AI - Mac Mini with Apple M4 chip, IFM x Hacktech - Best Use of K2 Think V2","react, node.js, supabase, tailwind",,Stanford,1,,,,,,
